Quality_flag,Bias-start_1,Bias-start_2,Bias-start_3,Bias-start-rationale,Disc-start_1,Disc-start_2,Disc-start_3,Disc-start_4,Disc-start_5,Disc-start_6,Disc-start-rationale,IndFair-1,IndFair-2,IndFair-3,IndFair-4,IndFair-5,IndFair-6,IndFair-7,IndFair-8,IndFair-9,Disc-end_1,Disc-end_2,Disc-end_3,Disc-end_4,Disc-end_5,Disc-end_6,Disc-end-rationale,Bias-end_1,Bias-end_2,Bias-end_3,Bias-end_4,Bias-end-rationale,Percv-work_1,Percv-work_2,Percv-work_3,Percv-work_4,Percv-work_5,Percv-work_6,Percv-work-rationale,Asian_race,Explanation_style,Prolific_Total_approvals,Prolific_Fluent_languages,Prolific_Age,Prolific_Sex,Prolific_Ethnicity_simplified,Prolific_Country_of_birth,Prolific_Country_of_residence,Prolific_Nationality,Prolific_Language,Prolific_Student_status,Prolific_Employment_status,Timer1_Page Submit,Predict1,Rationale1,Timer2_Page Submit,Predict2,Rationale2,Timer3_Page Submit,Predict3,Rationale3,Timer4_Page Submit,Predict4,Rationale4,Timer5_Page Submit,Predict5,Rationale5,Timer6_Page Submit,Predict6,Rationale6,Attention,Attention-ration,Timer7_Page Submit,Predict7,Rationale7,Timer8_Page Submit,Predict8,Rationale8,Timer9_Page Submit,Predict9,Rationale9,Timer10_Page Submit,Predict10,Rationale10,Timer11_Page Submit,Predict11,Rationale11,Timer12_Page Submit,Predict12,Rationale12
green,1,5,3,,1,1,1,1,1,1,,7,5,3,2,3,2,4,5,5,4,1,4,1,3,4,,1,1,5,5,,4,1,1,7,2,6,,1,NE,96,"English, Vietnamese",32,Male,Asian,Philippines,United States,United States,English,Yes,Part-Time,32.419,1,,14.215,1,,7.208,1,,12.201,4,,3.37,1,,11.466,1,,4,,16.292,1,,7.129,1,,4.373,1,,4.692,1,,7.68,1,,15.471,1,
green,1,3,2,,1,1,1,1,1,1,I am basing off my current mood not what I read on the last page,5,1,3,1,3,3,5,4,8,4,5,5,3,4,5,That is what I felt after reading those messages,2,1,5,3,,1,1,1,7,1,7,I was annoyed at the messages not the study,1,NE,1015,"English, Cantonese, Vietnamese",33,Male,Asian,United States,United States,United States,English,No,Full-Time,23.811,1,,11.622,2,,16.986,2,,13.988,4,,6.185,1,,28.108,2,,4,attention,15.899,1,,3.75,1,,6.528,1,,7.934,2,,9.665,1,,15.038,1,
green,2,3,3,"I feel that the statements are a mixture of objective and subjective details, meaning that while they can be argued as a truth, they can be viewed in a different perspective.",4,2,3,4,4,1,,7,7,5,4,4,2,5,3,6,4,4,4,4,4,4,Some of the tweets I saw seemed very aggressive and just makes me sad and angry as an Asian that those are things that people actually say on social media.,3,2,5,3,,5,3,3,6,5,4,,1,NE,366,"English, Tagalog-Filipino",31,Male,Asian,Philippines,United States,United States,Tagalog-Filipino,No,DATA_EXPIRED,74.417,1,"mentioned ""chinese virus""",21.09,4,,44.587,4,,20.359,4,,15.088,1,,28.853,1,,4,attention,49.713,4,I think this tweet is directed more towards the CCP government,17.962,4,I don't think the tweet is directed towards Chinese people in general,51.02,1,,27.775,1,,33.217,1,,26.331,4,"The tweet is a bit hard to understand what it is saying. While it is mentioning the corona virus, it does not appear to be antagonistic."
green,2,2,2,,3,3,3,3,3,3,,7,7,1,4,1,2,3,3,9,3,3,3,3,3,3,,3,2,5,2,,4,4,4,4,4,4,,1,NE,1057,"Chinese, English",18,Male,Asian,Canada,United States,United States,English,Yes,Part-Time,6.91,1,,9.664,2,,4.528,1,,5.859,4,,3.971,1,,2.969,1,,4,attention,9.108,2,,2.756,1,,2.076,1,,2.497,1,,3.749,1,,3.579,1,
red,3,5,4,i think its very important to understand and think,2,2,3,3,4,4,its very hard to get good results,7,7,5,5,5,3,3,3,3,2,3,3,4,4,3,getting good understanding,2,4,4,3,good results and power,4,6,5,3,6,3,effort for the culture,1,NE,334,"Bengali, English, Hindi",47,Female,Asian,Bangladesh,United States,United States,Bengali,No,Full-Time,7.599,1,80,4.879,1,66,7.523,1,45,4.87,1,77,2.535,1,66,6.098,4,56,1,77,3.283,1,45,3.05,1,55,3.892,2,77,6.864,4,55,4.16,1,56,6.444,1,66
green,4,3,3,,1,1,2,3,1,1,,7,5,1,1,6,1,4,2,9,1,1,2,3,1,1,,4,4,5,2,,2,2,2,7,4,2,,0,NE,103,English,26,Male,White,United States,United States,United States,English,No,Part-Time,10.971,1,,12.413,2,,29.2,1,,17.124,1,,4.241,1,,31.131,1,,4,attention,9.348,1,,3.518,2,,5.532,1,,11.475,1,,12.309,1,Uses a slur and blames it on xbox.,13.886,1,
green,2,4,3,,2,1,1,2,1,2,,7,1,1,1,3,1,3,4,9,1,1,1,2,1,1,,3,2,5,4,,4,1,1,7,4,1,,1,NE,776,English,54,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),25.605,1,China flu,10.564,4,,11.495,1,Chink,12.778,4,Not Asian related,8.341,4,,20.406,1,,4,attention,16.902,4,,3.56,4,,5.952,1,,4.407,1,,10.554,1,,15.876,4,
green,3,2,2,I disagree because I think that CCP is just trying to keep their people safe.,1,1,1,1,1,1,I'm feeling pretty positive right now.,7,7,1,1,1,2,3,2,9,4,4,4,4,4,4,"After reading all of those disgusting tweets, I am feeling those emotions above.",2,2,5,2,I would not like to elaborate here.,5,1,1,7,4,7,I would not like to elaborate here.,1,NE,630,English,19,Male,Asian,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",42.843,1,They called it the Chinese virus.,15.988,1,They are saying that it is China's fault.,36.672,1,They are saying how Chinese is bad which is why they moved which is hateful in my opinion.,11.896,4,This is a irrelevant tweet.,9.036,1,They call it the Chinese virus instead of Covid.,15.066,1,This tweet is extremely hateful. I don't even have the words to describe it.,4,attention,14.978,1,Hateful against CCP,6.929,1,They call it the CCP virus and put so much blame on China,5.369,1,This is an extremely rude comment.,10.025,1,This tweet is hating on China and other countries.,17.223,1,Targeted China,18.022,1,This tweet did not make any sense but it is offensive.
green,3,4,3,,1,1,1,1,1,1,,7,2,2,1,1,2,4,3,9,1,1,1,1,1,1,,3,3,5,4,,1,1,1,6,2,1,,1,NE,875,English,38,Male,Asian,United States,United States,United States,English,No,Full-Time,56.268,1,,34.692,4,,18.557,4,,56.298,1,,21.82,1,,17.132,1,,4,attention ,41.19,2,,6.953,2,,11.519,1,,6.321,2,,28.536,1,,16.127,2,
green,3,5,3,"I know that dogs are eaten in South Korea and China, I have seen picture and heard stories from people. The CCP is a communist state and does spy on its own citizens. ",1,1,1,1,1,1,,7,7,1,1,6,1,5,3,5,4,4,4,2,1,1,,3,3,5,4,,1,1,1,6,4,1,,0,NE,434,English,41,Male,White,United States,United States,United States,English,No,Full-Time,10.456,1,It calls it the Chinese Virus,8.672,4,,10.015,4,,56.012,2,,3.266,1,,6.923,2,,4,attention,14.89,1,,4.225,1,,31.04,2,,6.132,2,,12.236,1,,8.876,2,
green,3,5,5,"The transgressions of the CCP and Xi specifically are numerous. For example, the ongoing tyrannical treatment of the Uyghur communities which borders on genocide. Additionally, their ongoing irresponsible war mongering. Or their abject apathy towards the looming climate crisis. Frankly, as for dietary habits or traditions, I have no idea if people in China or South Korea actually eat dogs, cats, or horses, and frankly I don't much care. There are plenty of folks in India who think eating cows is a terrible thing. So it's a fairly subjective argument. I would say however that it is probably a good idea for China to introduce some basic safety standards in their food production supply chain.",4,3,4,2,2,2,No additional comments.,2,6,1,1,6,1,5,3,3,4,3,4,4,4,3,Best I can say here is those tweets were disconcerting.,5,3,5,5,Same comments from the first time.,3,1,2,5,2,4,"Those tweets could have been a little more thorough, that was a bit annoying, although Twitter isn't exactly a hotbed of rational thought. Which is why I don't bother with it.",0,NE,261,English,54,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),88.316,1,"Honestly, tough to tell what that tweet was supposed to be about, but, it did specifically reference ""china virus"" thus I felt it was covid related hate speech.",49.45,1,"Again, not a lot to go on here, but, it does seem to suggest the poster was saying that china was taking purposeful action to create harm.",25.674,2,This tweet is clearly racist and hateful.,34.634,4,"I guess it could be hateful, but it seems more juvenile and stupid.",47.668,1,The tweet mentions china virus in an attempt to couch covid 19 as an issue that the chinese are specifically responsible for.,27.28,1,"The link here to covid is limited, but the tweet is clearly racist.",4,'attention',86.814,1,"I would personally disagree, this is not covid related hate speech, however, by virtue of your guiding definition, this does mention covid and the CCP is an Asian organization (given a government is in fact an organization). ",12.57,1,tweet projects responsibility for covid onto CCP and China.,22.026,1,clearly a racist tweet.,13.614,2,"again, clearly racist, not specific to asians nor China despite specifically mentioning China.",34.86,1,tweet is racist (although not specifically anti asian) and suggests that anything coming from China is infected with covid,73.763,1,"Despite being almost completely unintelligible, this tweet has a definite racist undertone. "
green,3,4,3,"I am neutral about eating habits as I believe it's a cultural difference. Being Asian, I've eaten things that other people would not. But I am also a vegetarian, so the thought of some animals as meat are off-putting.",4,3,2,3,1,1,,7,2,3,2,3,2,4,3,5,5,4,5,4,1,3,It's hard reading hateful things. ,2,3,5,5,,5,1,1,7,5,6,,1,NE,329,English,51,Female,Asian,Korea,United States,United States,Korean,No,DATA_EXPIRED,13.499,1,,14.042,1,,12.234,1,Chink is a derogatory term.,20.209,2,,7.639,1,,8.41,1,It's offensive.,4,attention,22.351,4,,6.318,1,Putting the blame on China and suggesting restitution.,7.6,1,Use of the offensive word.,6.617,1,,6.753,1,,6.362,1,
green,2,5,4,,1,1,1,1,1,1,,7,7,1,1,6,1,4,3,9,1,1,1,1,1,1,,4,2,5,5,,2,1,1,7,6,1,,0,NE,133,English,56,Male,White,United States,United States,United States,English,No,Full-Time,33.857,1,,23.853,4,,36.802,4,,11.524,4,,9.805,4,,18.206,1,,4,attention,17.096,4,,6.487,4,,17.486,2,,13.624,2,,11.732,4,,19.856,1,
green,1,5,5,,4,4,4,4,1,4,,7,2,1,1,3,1,2,3,4,4,4,4,4,1,4,,5,1,5,5,,1,1,1,7,5,1,,1,NE,664,English,37,Male,Asian,United States,United States,United States,English,No,Full-Time,20.186,2,,7.053,4,,19.342,2,,6.359,4,,5.958,4,,5.485,1,,4,attention,9.695,4,,2.736,4,,5.014,1,,7.916,2,,5.197,1,,8.695,2,
green,2,4,2,,2,2,2,2,2,2,,7,7,1,1,6,1,4,3,9,3,3,3,3,3,3,,2,2,5,4,,3,1,2,6,3,3,,0,NE,3580,English,37,Male,White,United States,United States,United States,English,No,Full-Time,16.187,2,,13.466,4,,55.679,2,,8,4,,5.947,4,,11.269,4,,4,attention,10.033,4,,5.49,4,,7.848,1,,19.458,2,,10.891,1,,18.798,4,
green,5,5,5,"Evil leadership, poor people.",3,3,3,2,1,1,Boring day.,7,7,1,1,6,1,4,3,9,2,2,2,2,1,1,,4,4,5,5,,2,1,1,6,4,1,,0,NE,4911,English,63,Male,White,United States,United States,United States,English,No,Full-Time,21.8,2,Does not mention Asian people.,26.695,4,Blaming the government not the people.,33.1,1,Chinks is hateful.,40.601,4,Does not mention Asians.,16.337,4,It came from China.,46.464,1,Chinese dogs is hateful.,4,attention,12.497,4,,8.092,4,,19.488,1,,15.8,1,China sucks dick ,17.327,1,,23.559,4,
green,2,2,2,,1,1,1,1,1,1,,7,6,1,1,6,1,5,3,9,5,4,5,4,4,5,,2,2,5,2,,3,1,1,7,6,2,,0,NE,426,English,43,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,42.738,2,I didn’t see anything specifically hateful directed at Asian people or places.,24.055,4,I didn’t see any specific hate directed at Asians.,33.418,1,I’m not sure if the tweet is talking about Covid 19 but it is hateful towards Asians.,16.817,2,The tweet used inappropriate language but not towards Asians.,22.813,1,"People disagree on whether calling Covid 19 the “Chinese virus” is hateful or not. I, personally, think it is hateful.",41.914,2,"The tweet had horrible, offensive language but not specifically towards Asians.",4,attention ,27.985,1,The tweet was hateful.,12.266,1,The tweet was hateful towards Asians.,11.557,1,The tweet was hateful towards Asians.,26.018,2,The tweet was hateful towards Asians but not necessarily because of Covid 19.,9.67,1,The tweet was hateful towards Asians.,52.641,1,I’m not sure exactly what the tweet was trying to say but it did seem hateful towards Asians since Wuhan was mentioned.
green,3,4,2,,2,2,2,2,4,1,"I have anxiety, but feel relatively normal otherwise",7,7,1,1,6,1,4,3,4,3,2,2,2,4,3,,1,3,5,4,,2,1,1,7,3,2,Well put together study. Some of those tweets were nearly incoherent and difficult to parse though.,0,NE,490,English,30,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",36.734,2,"It mentions the ""China virus"" but does not call out Asian people in any way.",29.915,2,"The tweet is harshly critical of China, but does not have anything to do with COVID 19.",19.974,2,"The tweet used a racial slur, but had nothing to do with COVID.",19.524,4,It's just a joke. No racism at all.,10.207,1,Blames COVID on China,14.648,1,Blatant hatred of the Chinese,4,attention,36.175,4,"It is criticizing the government, specifically excluding the Chinese people in general",17.561,1,Tweet implies China is culpable for COVID damages,9.629,1,Very much insulting the Chinese people,15.598,1,Blatant racism,21.266,1,Implies that China is more contaminated than other places,38.025,2,"I don't know what the author means in the tweet, but it was clearly angry and mean spirited"
green,1,4,4,,1,1,1,2,2,1,,7,7,1,1,6,1,4,2,8,1,1,2,2,1,1,,4,1,5,4,,3,1,2,6,6,4,,0,NE,4499,"English, Spanish",33,Male,White,United States,United States,United States,English,No,Full-Time,38.852,2,"The tweet simply says that it's a Chinese virus, nothing else was an identifier.",11.763,4,,8.467,1,uses racial epithets,35.431,4,,5.69,4,,15.901,2,,4,attention,11.607,4,,16.213,4,,22.734,4,,6.344,4,,7.209,4,,6.915,1,
green,3,3,2,,2,2,2,1,1,1,,7,7,1,1,6,1,4,2,6,4,4,4,1,1,1,,2,3,5,3,,3,1,2,4,4,6,,0,NE,1572,English,49,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,25.593,2,,5.469,4,,12.32,2,,8.075,2,,14.829,4,,12.843,2,,4,attention,10.134,4,,4.101,4,,9.102,1,,4.087,2,,7.3,1,,20.231,1,
yellow,1,5,5,"It is my opinion that no country should spy on its citizens. Also, President Xi needs to be much more diplomatic with all countries in the world.",2,1,2,2,4,1,,7,7,1,1,6,1,5,2,4,2,2,1,2,4,1,,5,3,5,5,,1,1,1,7,7,1,,0,NE,3911,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,32.906,2,,11.549,4,,14.364,2,,8.406,4,,13.195,4,,23.516,4,,4,,14.35,4,,6.325,4,,13.047,1,,12.687,2,,8.859,1,,17.988,1,
green,1,3,1,,2,3,2,4,2,2,,7,7,1,1,1,2,4,3,4,2,2,3,4,2,1,,1,1,5,4,,6,1,3,4,6,6,,1,NE,4518,"Chinese, English",26,Male,Asian,United States,United States,United States,English,No,Full-Time,38.209,2,,31.074,2,I don't think it's related to Covid but it is hateful towards China,27.899,2,,8.517,4,,5.403,1,,9.711,2,,4,attention,9.79,1,,5.842,4,,5.893,4,,6.944,4,,9.985,2,,15.974,2,
green,3,4,3,,1,1,1,1,1,1,,7,7,2,1,6,1,4,3,9,2,2,2,1,1,1,,1,3,5,4,,5,1,1,7,5,1,,0,NE,5756,English,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,25.321,2,,16.92,4,,13.113,2,,14.487,4,,11.217,4,,19.821,1,,4,attention,14.361,4,,8.823,4,,10.635,1,,9.494,2,,15.316,1,,16.457,4,
green,1,5,1,,1,1,1,1,1,1,,7,6,1,1,6,1,4,5,9,1,1,1,1,1,1,,1,1,5,5,,1,1,4,7,4,6,,0,NE,2172,English,41,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),24.062,2,,10.103,2,,19.589,2,,14.594,1,,6.971,1,,5.373,1,,4,attention,17.778,2,,7.423,2,,6.702,2,,5.696,2,,5.306,2,,12.186,1,
green,4,4,5,,4,4,4,4,3,4,,5,2,3,1,4,2,4,3,8,3,3,4,4,3,3,,5,5,5,4,,5,3,2,7,5,4,,1,NE,753,English,29,Female,Asian,United States,United States,United States,Vietnamese,No,Full-Time,20.099,2,This sounds more like a fact and not something hating ,59.293,2,It implies the hate toward China,44.069,2,"It is hateful toward China, probably from the Koreans",6.642,1,This is definitely Asian-hate,9.024,1,"It relates the virus with China, hating on it",78.301,1,It shows the hate and the vulgarity ,4,attention,53.073,2,This isnt COVID related but is definitely hateful,11.676,4,"not hateful, just speaking facts",4.752,1,It is COVID related hateful comment,7.983,2,Not COVID related but hateful toward China,7.041,1,It is COVID related and using vulgar language,9.734,1,It is hateful toward the virus and China
green,3,5,3,,1,1,1,1,1,1,,2,6,1,1,6,1,3,3,8,4,4,4,3,4,5,,3,3,5,5,,1,1,2,7,4,5,,0,NE,1160,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,29.535,2,It's talking specifically about a virus and nothing about actual Asian people,16.481,1,,10.862,1,Using racial slurs to describe Chinese people,10.041,4,,15.468,1,,16.429,1,,4,attention,9.273,4,"It's bashing the corrupt government, not Asian people in general",9.549,4,Seems to refer more to the government,5.829,1,,12.448,1,,6.048,1,,7.677,1,
green,2,4,3,,5,4,5,4,1,3,,2,7,1,1,6,1,2,3,6,5,3,4,4,1,1,,2,3,5,4,,2,1,2,7,2,5,,0,NE,2105,"English, Spanish, Russian",38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,16.898,2,,13.714,4,,31.134,2,,11.22,2,,11.197,4,,25.216,1,,4,attention ,17.383,4,,8.099,4,,6.979,1,,9.722,2,,7.458,4,,12.87,4,
green,1,5,4,They deny anything to do with Covid -19 when it is clearly from their labs and it originated from them. They are a communistic country and uses a status number system fro their citizen whether they can buy or sell anything.,2,1,2,2,1,1, am in a good place but frustrated a bit what is going on in the world,7,7,2,1,6,1,4,1,9,4,4,4,4,4,4,It is seeing all those bad lagnuage,4,1,5,4,The communistic country is doing all these things on purpose to become the super power.,3,1,2,4,7,3,It was hard to read and than explain why,0,NE,3900,English,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",15.1,2,It is saying the president would scare the disease.,23.501,4,It is speaking the truth.,14.691,2,The slang word in it,28.888,1,It is gross word in it,4.295,1,,5.342,1,,4,attention,27.9,4,They are speaking the truth.,8.98,1,,4.933,1,It was very hateful,12.733,1,It is gross language,5.133,1,,5.287,1,
green,5,4,3,no comment,2,1,1,3,1,1,N/A,5,2,2,1,4,1,5,5,4,2,1,3,3,1,2,,3,4,5,4,,4,1,1,7,2,2,,1,NE,444,English,31,Male,Asian,United States,United States,United States,English,No,Full-Time,15.365,2,It's labeling the virus from its originating country. Nothing hateful,43.784,4,Personally dont find it hateful,18.479,2,No COVID mention but this is direct racism,28.579,2,Not pertaining to Asians or COVID but some might take offense,8.633,4,Just labeling the virus by origin,61.07,1,N/A,4,attention,14.964,1,N/A,7.745,1,,5.467,1,,15.715,1,,14.497,2,,187.253,1,
green,4,4,5,I think China's leaders should apologize to the world for creating and accidentally leaking the Covid virus and then lying about it.,1,1,1,1,1,1,,7,7,1,1,6,1,5,4,9,2,1,1,1,1,1,,5,4,5,4,,2,1,1,7,4,5,,0,NE,1933,English,55,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,43.467,2,I didn't see anything hateful directed torward asians.,77.305,1,,68.717,2,,32.105,2,,11.725,1,,47.54,1,,4,attention,77.095,1,,37.611,1,,56.075,1,,15.882,2,,20.375,4,,55.219,4,
green,3,4,3,,1,1,1,1,1,1,,7,7,1,1,6,1,3,1,9,1,1,1,1,1,1,,3,3,5,4,,5,1,1,2,5,5,,0,NE,3802,English,66,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,27.177,2,,34.289,4,,18.042,2,,19.276,4,,9.705,4,,18.805,2,,4,attention,20.56,4,,6.027,4,,8.362,4,,18.879,2,,30.807,1,,18.729,4,
green,4,2,1,,1,1,1,1,1,1,,7,2,5,5,5,3,3,3,9,1,1,2,1,1,1,,1,4,5,2,,3,2,2,7,7,1,,1,NE,1175,English,43,Male,Asian,India,United States,United States,English,No,Full-Time,34.448,2,,10.54,4,,22.515,1,,12.096,4,,11.702,4,,11.537,1,,4,attention,13.986,4,,4.866,4,,9.265,1,,7.661,4,,8.185,4,,14.068,4,
green,2,4,4,,2,1,1,2,1,1,,7,7,1,1,6,1,3,4,8,1,1,1,1,1,1,,3,3,5,4,I don't know much about the context of the first two.,5,1,1,6,3,2,,0,NE,1002,English,28,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",29.364,2,"Truthfully, I didn't understand what it was saying or the context. It didn't make sense",34.212,4,"I don't really see the statement being that offensive, mainly again, because it doesn't make much sense in general ",28.397,1,,11.996,4,It's just a dumb statement,83.464,4,ignorant more than hateful. I'd still unfortunately see it as free speech,83.716,4,"Again, super ignorant, unoriginal and stupid, but that seems to be the extent. I see it as those things over hateful, it's mainly vulgar",4,attention,25.78,4,,5.956,4,"Seems like someone's opinion, they are allowed to express such",97.365,2,,9.5,4,"Opinion. Ignorant a stupid, but they're allowed to have it",12.387,1,,48.452,2,
green,2,4,3,,1,1,1,1,1,1,,7,7,1,1,6,1,4,3,9,1,1,1,1,1,1,,4,3,5,4,,3,1,1,7,5,1,,0,NE,4244,English,65,Male,White,United States,United States,United States,English,No,Full-Time,30.454,2,,21.902,1,,38.589,2,,17.224,2,,22.257,1,,10.831,1,,4,attention,40.6,2,,26.692,2,,10.841,1,,8.115,1,,9.533,1,,10.756,1,
green,3,3,3,,2,2,2,2,2,2,,7,7,3,4,1,1,4,3,3,2,2,3,2,2,2,,3,3,5,3,,3,2,2,4,4,2,,1,NE,2837,English,29,Male,Asian,Canada,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,68.246,2,The language does not necessarily seem hateful.,11.929,4,This appears to be a criticism but not necessarily hateful.,26.157,2,The tweet is hateful but not necessarily COVID-19 related.,10.936,4,,22.475,4,,38.818,1,,4,attention,44.787,1,"This is hatred of the ""CCP"" only, which is an ""Asian entity"".",4.847,4,,6.333,1,,8.681,2,,16.663,1,,14.019,2,
green,4,5,4,I believe China is a repressive regime and will do anything to suppress its people.,4,4,4,4,1,4,Hot topics like China get my emotions up.,7,5,1,1,6,1,4,3,9,4,4,4,4,1,4,"I still feel the same as before the survey, I tend to not take posts personally.",4,4,5,5,The Chinese government suppresses the people to stay in control.,6,1,1,6,6,2,"Hate speech is always hard to see, even in a survey.",0,NE,1668,English,58,Male,White,United States,United States,United States,English,No,Part-Time,36.565,2,"It sounds like the poster is mad at the virus, not the people.",15.211,4,"This poster is blaming China as a country, not the Chinese people.",51.144,2,"‘Chinks’ is a derogatory term.  In this context it was directed towards the Chinese, not Covid.",24.674,4,This sounds like the poster is talking about bad sex.,42.122,2,"This sounds like they are blaming the Chinese, hateful blame but not towards the virus.",44.089,1,"This post relates the Chinese with dogs, and Covid, and sounds very hateful.",4,attention ,27.246,4,"The poster is blaming the Chinese government, not the people, free speech.",13.831,4,"The poster is blaming the country of China, not the people.",16.811,1,This post is pure hate against the Chinese and blames them for the virus.,18.754,2,This post doesn’t mention the Corona virus but xenophobia is hate speech.,21.303,4,"This poster does not blame the Chinese, he is just trying not to catch the Corona.",27.437,2,"This post sounds angry more than hateful, and is poorly written and hard to understand."
green,3,5,5,,2,2,2,3,2,3,,7,5,1,2,6,1,2,2,4,2,2,2,3,2,3,,5,3,5,5,,2,1,1,7,2,1,,0,NE,156,English,65,Male,White,Australia,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,17.512,2,,6.424,4,,17.385,2,,4.804,4,,4.12,4,,12.967,4,,4,attention,7.939,4,,6.372,4,,7.029,2,,5.215,2,,4.767,4,,5.889,4,
green,2,3,3,,1,1,1,1,1,1,,7,6,1,1,6,1,4,4,5,3,3,4,1,1,1,,3,2,5,4,,4,1,1,7,5,1,,0,NE,2417,English,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),30.199,2,No asian hate,7.814,4,,18.487,2,No covid mention but hateful,12.564,4,,8.365,1,,8.325,1,,4,attention,12.316,4,,6.857,4,,7.101,1,,6.897,1,,7.431,2,,12.759,1,
green,3,5,4,"China does eat dogs, The CCP has proven history regarding spying on citizens abroad, and I'm still pissed about covid so yes XI and CCP need to apologize although I also blame the USG as well. ",2,2,2,2,2,2,Im pretty bland at the moment I dont have any feelings other than content ,6,5,3,1,6,2,1,1,4,1,1,1,1,1,1,just still feeling bland was not perturbed by the choices ,4,3,5,5,"people are spied on by the ccp, chinese eat dog they have a dog eating festival, and CCP should apologize for covid ",1,1,1,7,3,1,the task was easy ,0,NE,776,English,29,Male,White,United States,United States,United States,English,No,Full-Time,9.709,2,person refers to the virus not all chinese ,9.677,4,swallowing world peace doesnt sound hateful ,14.703,2,use of the word chink ,5.707,4,its a joke ,7.417,4,the virus did originate from china ,20.445,2,derogatory to chinese people ,4,attention,6.255,4,hate towards CCP not chinese people ,3.556,4,hate towards the CCP not the chinese,6.233,2,derogatory to chinese ,7.955,4,just comment on other coutries in the world ,7.31,2,associating chinese with the virus ,10.294,4,not derogatory to any ethnicity 
yellow,4,3,4,,2,2,2,2,2,2,,7,7,5,4,4,2,4,2,9,2,2,2,2,2,2,,2,4,5,3,,1,1,1,7,7,1,,1,NE,1462,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,25.542,2,4,22.486,1,Because it is mentioning the name of China and directly targetting it,18.097,2,,15.3,2,,8.859,1,It directly blamed china,13.606,1,Using slang language against the chinese,4,,14.289,2,,31.786,1,,7.43,1,Insulting Chinese and China,9.938,1,,7.603,1,,8.446,1,Slang language
green,3,3,2,,2,2,2,2,1,1,,2,6,1,1,6,1,2,1,6,2,2,2,2,1,1,,2,3,5,3,,4,1,1,7,4,1,,0,NE,1614,English,48,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",30.476,2,The poster didn't say anything hateful but only sounded angry,19.163,1,,14.908,1,"""chinks"" is a slur",14.301,1,,15.711,4,,12.771,1,,4,attention,14.714,4,,10.284,1,,214.427,1,,9.401,1,,8.044,1,,24.241,1,
yellow,1,5,5,,1,1,1,1,1,1,,7,7,2,1,6,1,4,3,3,1,1,1,1,1,1,,5,1,5,5,,1,1,1,7,2,1,,0,NE,1780,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,33.694,2,,6.321,2,,6.654,1,,4.535,2,,9.703,1,,8.587,2,,4,,7.172,4,,5.291,4,,2.485,1,,10.254,2,,8.525,2,,7.996,1,
